school_id,center_id,name,area,phone,curriculum,grade_range,overall_rating,wellbeing_rating,inclusion_rating
5547,502020,Dubai Schools Corporation Al Khawaneej L.L.C,AL KHWANEEJ SECOND,043727000,American,KG 1 - GRADE 8,Acceptable,Good,Acceptable
5548,502089,Dubai Schools Corporation L.L.C Albarsha,Al barsha South Second,97145840401,American,KG 1 - GRADE 7,Acceptable,Acceptable,Weak
5551,502174,Emirates National Schools - Dubai Branch,AL KHWANEEJ SECOND,456288456,"American,International Baccalaureate",Pre primary - GRADE 8,Acceptable,Acceptable,Acceptable
5554,502182,Pace Modern British School L.L.C,AL RASHIDIYA,,UK (13 Y),FS 1 - YEAR 10,Acceptable,Acceptable,Acceptable
5553,502201,national charity school primary,ABU HAIL,97143897600,Ministry of Education,GRADE 1 - GRADE 4,Acceptable,Acceptable,Acceptable
5558,502213,The National Charity School for Boys L.L.C,AL GARHOUD,,Ministry of Education,GRADE 5 - GRADE 12,Good,,
351,340,International School of Arts & Sciences L.L.C,AL WARQA FIRST,97142800459,American,KG 1 - GRADE 12,Not inspected yet,,
340,117,Al Basateen Private Nursery - Hatta Branch,HATTA,97148523151,Ministry of Education,KG 1 - KG 2,Not inspected yet,,
4398,338,Icademy Middle East Fz.Llc,Dubai Knowledge Park,971971444012,American,KG 1 - GRADE 12,Not inspected yet,,
5616,502551,Ambassador International Academy L.L.C (Branch),MANKHOOL,,International Baccalaureate,Pre primary - GRADE 12,Not inspected yet,,
5585,504283,LYCEE FRANCAIS JEAN MERMOZ SOUTH L.L.C,Al Barsha South,526744001,French,Pre primary - GRADE 12,Not inspected yet,,
5584,504739,Dubai British School Jumeira,JUMEIRA SECOND,,UK (13 Y),ECC (2-3) - YEAR 8,Not inspected yet,,
5592,504953,Lycée français international (Branch),Mudon,,French,,Not inspected yet,,
5590,504994,New Dawn Private School,MUHAISANAH FOURTH,,UK (13 Y),FS 1 - YEAR 7,Not inspected yet,,
5591,505008,GEMS School of Research and Innovation,Dubai Sports City,044995000,UK (13 Y),,Not inspected yet,,
5593,505020,Pace Springfield International School,AL AWIR FIRST,042710000,"UK (13 Y),UK/BTEC",FS 1 - YEAR 7,Not inspected yet,,
5601,505058,Dubai British School Mira,Arabian Ranches,,UK (13 Y),FS 1 - YEAR 7,Not inspected yet,,
5596,505085,BC Academy International School L.L.C,UMM SUQEIM SECOND,04 350 2600,UK (13 Y),YEAR 1 - YEAR 7,Not inspected yet,,
5594,505137,Hampton Heights International School,AL TWAR THIRD,97143473333,UK (13 Y),FS 1 - YEAR 7,Not inspected yet,,
5589,505334,GEMS Founders School DS DWC-LLC,Dubai South HQ,,UK (13 Y),FS 1 - YEAR 9,Not inspected yet,,
5599,505385,Amity English School,AL QUSAIS FIRST,042041027,UK (13 Y),FS 1 - YEAR 7,Not inspected yet,,
5604,505784,Al Fanar School,NADD AL SHIBA FOURTH,043231618,UK (13 Y),,Not inspected yet,,
5608,506012,Rugby School L.L.C-FZ,Meydan City,,UK (13 Y),,Not inspected yet,,
5613,506059,Queen Elizabeth's School L.L.C,Dubai Sports City,,"UK (13 Y),UK*,UK/BTEC",,Not inspected yet,,
5614,506085,Dubai International Academy Town Square,Dubai Land,,International Baccalaureate,,Not inspected yet,,
5606,506140,Horizon English School Town Square,Dubai Land,,UK (13 Y),,Not inspected yet,,
5602,506257,Victory Heights Primary School City of Arabia LLC,Wadi Al Safa 2,,UK (13 Y),,Not inspected yet,,
5621,506557,GEMS FOUNDERS SCHOOL NAD AL HAMAR (Br of FZEGEMS WELLINGTON ACADEMY) - DUBAI BRANCH,NADD AL HAMAR,,UK (13 Y),,Not inspected yet,,
5607,506702,Dubai English Speaking School - Academic City,Academic City,04 614 6999,UK (13 Y),,Not inspected yet,,
5620,506837,The Scholars School,AL QOUZ FIRST,,"UK (13 Y),UK/BTEC",,,,
